Geneid,A,B,C,D
ENSG00000223972.5,23,22,9,1
ENSG00000227232.5,515,466,278,1
ENSG00000278267.1,46,34,20,1
ENSG00000243485.5,1,0,0,1
ENSG00000238009.6,17,12,10,1
ENSG00000233750.3,28,34,33,1
ENSG00000268903.1,62,33,22,1
ENSG00000269981.1,126,73,29,1
ENSG00000239906.1,21,15,10,1
ENSG00000241860.7,187,161,120,1
ENSG00000222623.1,0,1,1,1
ENSG00000241599.1,3,2,10,1
ENSG00000279928.2,2,2,6,1
ENSG00000279457.4,837,757,461,1
ENSG00000273874.1,11,9,8,1
ENSG00000228463.10,278,305,248,1
ENSG00000286448.1,2,0,1,1
ENSG00000236679.2,3,6,0,1
ENSG00000236601.2,37,53,48,1
ENSG00000237094.12,396,321,268,1
ENSG00000269732.1,1,0,2,1
ENSG00000284733.1,0,2,0,1
ENSG00000233653.3,19,23,9,1
ENSG00000250575.1,77,75,42,1
ENSG00000278757.1,1,1,0,1
ENSG00000230021.10,137,111,97,1
ENSG00000235146.2,0,1,0,1
ENSG00000225972.1,1094,923,869,1
ENSG00000225630.1,24672,22557,19793,1
ENSG00000237973.1,62878,51737,44321,1
ENSG00000229344.1,212,186,176,1
ENSG00000240409.1,2,1,3,1
ENSG00000248527.1,37229,32839,30776,1
ENSG00000198744.5,306,240,221,1
ENSG00000284662.1,0,0,0,1
ENSG00000229376.3,34,12,9,1
ENSG00000228327.3,587,545,385,1
ENSG00000223181.1,3,0,0,1
ENSG00000229905.1,4,0,0,1
ENSG00000237491.10,161,126,136,1
ENSG00000230092.7,13,5,7,1
ENSG00000177757.2,16,9,19,1
ENSG00000228794.10,709,661,450,1
ENSG00000225880.5,36,38,26,1
ENSG00000230368.2,0,4,1,1
ENSG00000234711.1,1,2,1,1
ENSG00000272438.1,22,6,11,1
ENSG00000230699.2,83,73,52,1
ENSG00000223764.2,1619,1572,1042,1
ENSG00000187634.12,677,613,369,1
ENSG00000188976.11,3307,2690,1835,1
ENSG00000187961.14,647,684,398,1
ENSG00000187583.11,340,348,209,1
ENSG00000187642.9,54,36,24,1
ENSG00000272512.1,149,139,76,1
ENSG00000188290.11,187,158,106,1
ENSG00000187608.10,300,255,154,1
ENSG00000231702.2,5,0,2,1
ENSG00000224969.1,6,14,11,1
ENSG00000188157.15,10662,9350,5451,1
ENSG00000217801.10,689,659,428,1
ENSG00000273443.1,78,58,31,1
ENSG00000237330.3,1535,1175,754,1
ENSG00000131591.17,869,726,412,1
ENSG00000285812.1,92,63,73,1
ENSG00000223823.1,17,19,7,1
ENSG00000207730.3,5,1,0,1
ENSG00000207607.3,1,1,0,1
ENSG00000198976.1,15,16,6,1
ENSG00000272141.1,126,121,72,1
ENSG00000205231.1,3,3,0,1
ENSG00000162571.14,19,13,9,1
ENSG00000186891.14,198,193,109,1
ENSG00000186827.11,0,2,1,1
ENSG00000078808.18,6717,5929,3817,1
ENSG00000176022.7,1130,1110,797,1
ENSG00000184163.3,28,20,9,1
ENSG00000260179.1,34,19,18,1
ENSG00000160087.21,2010,1901,1309,1
ENSG00000230415.1,21,21,13,1
ENSG00000162572.21,74,91,54,1
ENSG00000131584.19,2176,1805,1052,1
ENSG00000169972.12,593,465,292,1
ENSG00000127054.21,4028,3687,2555,1
ENSG00000240731.1,287,277,230,1
ENSG00000224051.7,748,603,453,1
ENSG00000169962.5,36,25,11,1
ENSG00000107404.20,1662,1417,689,1
ENSG00000162576.16,153,143,105,1
ENSG00000175756.13,3124,3296,1781,1
ENSG00000223663.2,1,0,0,1
ENSG00000221978.12,9000,8864,6885,1
ENSG00000224870.7,1917,1822,1168,1
ENSG00000242485.6,3752,3443,2712,1
ENSG00000272455.1,465,421,319,1
ENSG00000235098.8,0,6,2,1
ENSG00000225905.1,0,0,0,1
ENSG00000225285.1,6,4,6,1
ENSG00000179403.12,908,829,445,1
ENSG00000215915.10,555,536,357,1
ENSG00000160072.20,1603,1265,796,1
ENSG00000284740.1,22,12,1,1
ENSG00000197785.14,1101,1002,528,1
ENSG00000205090.9,1,2,2,1
ENSG00000160075.12,5069,4570,3515,1
ENSG00000215014.5,13,13,8,1
ENSG00000228594.4,1539,1175,627,1
ENSG00000286989.1,151,117,45,1
ENSG00000272106.1,388,381,319,1
ENSG00000197530.12,555,534,313,1
ENSG00000189409.14,4,8,11,1
ENSG00000248333.8,3161,2916,2154,1
ENSG00000272004.1,9,6,4,1
ENSG00000189339.12,8396,7772,5780,1
ENSG00000269737.2,239,246,165,1
ENSG00000215914.4,2,3,3,1
ENSG00000008128.23,457,336,274,1
ENSG00000268575.1,300,289,246,1
ENSG00000227775.3,82,96,78,1
ENSG00000215790.7,2750,2424,2120,1
ENSG00000008130.15,4774,4405,3089,1
ENSG00000078369.18,29399,28412,21726,1
ENSG00000231050.1,8,9,5,1
ENSG00000169885.10,124,97,43,1
ENSG00000178821.13,243,213,99,1
ENSG00000142609.18,12,22,8,1
ENSG00000233542.2,0,6,0,1
ENSG00000187730.9,65,79,55,1
ENSG00000226969.1,0,0,1,1
ENSG00000067606.17,1230,1189,851,1
ENSG00000271806.1,7,8,8,1
ENSG00000182873.5,208,162,145,1
ENSG00000162585.17,822,848,569,1
ENSG00000157933.10,2122,1975,1446,1
ENSG00000287356.1,33,24,14,1
ENSG00000116151.14,444,359,287,1
ENSG00000269896.2,74,73,45,1
ENSG00000272420.1,29,20,8,1
ENSG00000157916.20,4260,4046,3433,1
ENSG00000157911.11,858,659,544,1
ENSG00000149527.18,24,23,15,1
ENSG00000224387.1,0,1,0,1
ENSG00000229393.1,0,0,2,1
ENSG00000157881.16,425,443,243,1
ENSG00000272449.2,40,40,15,1
ENSG00000238164.6,6,4,4,1
ENSG00000157873.17,12,8,7,1
ENSG00000225931.3,2,0,0,1
ENSG00000228037.1,5,5,1,1
ENSG00000157870.17,992,980,641,1
ENSG00000142606.16,18,34,7,1
ENSG00000215912.12,21,18,10,1
ENSG00000287396.1,0,1,0,1
ENSG00000177133.11,33,20,18,1
ENSG00000142611.17,422,355,257,1
ENSG00000283572.1,6,0,0,1
ENSG00000226286.1,13,16,11,1
ENSG00000279839.1,3,0,0,1
ENSG00000272235.1,0,1,0,1
